"ID","CRYear","Rate","LnNumBed","LnSqrFoot","Pro","TaxExempt","SelfIns","MCert","Urban"
101,1995,92.343987823,2.8903717579,2.4129630005,0,1,1,0,0
101,1996,90.588949605,2.8903717579,2.3851783913,0,1,1,0,0
101,1997,91.430745814,2.8903717579,2.3851783913,0,1,1,0,0
101,1998,94.124809741,2.8903717579,2.3851783913,0,1,1,0,0
101,1999,93.652968037,2.8903717579,2.3851783913,0,1,1,0,0
101,2000,91.560412872,2.8903717579,2.3851783913,0,1,0,0,0
101,2001,92.800608828,2.8903717579,2.3851783913,0,1,1,0,0
103,1995,92.302674494,4.1431347264,3.4483671861,0,0,1,1,0
103,1996,94.097493278,4.1431347264,3.4483671861,0,0,1,1,0
103,1997,95.877364644,4.1431347264,2.9938805602,0,0,1,1,0
103,1998,96.83844314,4.1431347264,2.9938805602,0,0,1,1,0
103,1999,92.446183953,4.1431347264,3.0564039531,0,0,1,1,0
103,2000,94.041113713,4.1431347264,2.9847724333,0,0,1,1,0
103,2001,91.139726027,3.9120230054,2.9847724333,0,0,1,1,0
105,1995,90.670511896,4.0430512678,3.2872071442,0,0,0,1,1
105,1996,94.827916787,4.0430512678,3.2909359874,0,0,0,1,1
105,1997,84.417207402,4.0430512678,3.2909359874,1,0,0,1,1
105,1998,89.533231862,3.9889840466,3.2909359874,1,0,1,1,1
105,1999,87.133434805,3.9889840466,3.2909359874,1,0,1,1,1
105,2000,91.919651892,3.9889840466,3.2909359874,1,0,1,1,1
105,2001,96.996448503,3.9889840466,3.2909359874,1,0,1,1,1
106,1995,99.019178082,3.9120230054,3.1099980197,0,1,1,1,0
106,1996,91.726775956,3.9120230054,3.1099980197,0,1,1,1,0
107,1995,96.818382678,4.127134385,3.2702911118,0,1,1,1,0
107,1996,93.535166579,4.127134385,3.2702911118,0,1,1,1,0
107,1997,94.816615113,4.127134385,3.2702911118,0,1,1,1,0
107,1998,88.369006849,4.1588830834,3.2702911118,0,1,1,1,0
107,1999,92.940639269,4.0943445622,3.2702911118,0,1,1,1,0
107,2000,86.4571949,4.0943445622,3.2702911118,0,1,1,1,0
107,2001,95.639269406,4.0943445622,3.2702911118,0,1,1,1,0
108,1995,92.713382508,4.6443908991,3.4848949407,1,0,1,1,1
108,1996,91.490647331,4.6443908991,3.4848949407,1,0,1,1,1
108,1997,92.492096944,4.6443908991,3.4242626546,1,0,1,1,1
108,1998,90.387249737,4.6443908991,3.4242626546,1,0,1,1,1
108,1999,92.992623815,4.6443908991,3.4242626546,1,0,0,1,1
108,2000,90.923182009,4.6443908991,3.4242626546,1,0,0,1,1
108,2001,91.933614331,4.6443908991,3.4242626546,1,0,1,1,1
109,1995,90.355470782,4.3694478525,3.1456167231,1,0,1,1,1
109,1996,85.512208619,4.3694478525,3.1456167231,1,0,1,1,1
109,1997,87.189179816,4.3694478525,3.1456167231,1,0,1,1,1
109,1998,89.061903936,4.3694478525,3.1456167231,1,0,1,1,1
109,1999,88.947459684,4.3694478525,3.1892410197,1,0,0,1,1
109,2000,88.234073459,4.3694478525,3.1892410197,1,0,0,1,1
109,2001,88.826079417,4.3694478525,3.1892410197,1,0,1,1,1
110,1995,86.142204827,4.6539603502,3.5370386046,1,0,1,1,1
110,1996,90.174342961,4.6539603502,3.5370386046,1,0,1,1,1
110,1997,91.068493151,4.6539603502,3.5370386046,1,0,1,1,1
110,1998,94.614481409,4.6539603502,3.5370386046,1,0,1,1,1
110,1999,94.418786693,4.6539603502,3.5370386046,1,0,0,1,1
110,2000,91.017434296,4.6539603502,3.5370386046,1,0,0,1,1
110,2001,93.00456621,4.6539603502,3.5370386046,1,0,1,1,1
111,1995,76.427270568,5.1532915945,3.9536446801,1,0,1,1,1
111,1996,74.632805837,5.1532915945,3.9536446801,1,0,1,1,1
111,1997,66.648190672,5.1532915945,3.9536446801,1,0,1,1,1
111,1998,79.57925636,4.9416424226,3.9536446801,1,0,1,1,1
111,1999,91.077837953,4.8598124044,3.9536446801,1,0,1,1,1
111,2000,73.76201974,4.8598124044,3.9536446801,1,0,1,1,1
111,2001,91.111111111,4.6821312271,3.8292933578,1,0,1,1,1
112,1995,95.25619353,5.4595855141,4.2739541115,0,1,1,1,1
112,1996,92.954307639,5.4595855141,4.2739541115,0,1,1,1,1
112,1997,92.278737344,5.4380793089,4.2739541115,0,1,1,1,1
112,1998,92.601465435,5.3706380281,4.2739541115,0,1,1,1,1
112,1999,92.364447276,5.3706380281,4.2739541115,0,1,1,1,1
112,2000,96.581967213,5.2983173665,4.2739541115,0,1,1,1,1
112,2001,91.294520548,5.2983173665,4.2736755406,0,1,1,1,1
113,1995,92.842465753,5.2149357576,4.1491010196,0,1,0,1,1
113,1996,94.657282015,5.2149357576,4.1491010196,0,1,0,1,1
113,1997,90.854675402,5.2149357576,4.1491010196,0,1,0,1,1
113,1998,92.310899345,5.2149357576,4.1491010196,0,1,0,1,1
113,1999,86.929720071,5.2149357576,4.1491010196,0,1,0,1,1
113,2000,84.978617249,5.2149357576,4.1491010196,0,1,0,1,1
113,2001,83.260869565,5.2149357576,4.1491010196,0,1,0,1,1
114,1995,90.207177629,4.7957905456,3.6639205561,1,0,1,1,0
114,1996,88.002980626,4.7957905456,3.6639205561,1,0,1,1,0
114,1997,93.868447866,4.7957905456,3.6639205561,1,0,1,1,0
114,1998,88.961847617,4.7957905456,3.6639205561,1,0,1,1,0
114,1999,90.667808219,4.7184988713,3.6639205561,1,0,1,1,0
114,2000,91.264946167,4.6151205168,3.6639205561,1,0,1,1,0
114,2001,86.209141462,4.6151205168,3.6639205561,1,0,1,1,0
116,1995,87.70658418,4.127134385,3.0950344746,0,0,0,0,1
116,1996,91.635818791,4.127134385,3.0950344746,0,0,0,1,1
116,1997,86.889085285,4.127134385,3.0950344746,0,0,0,1,1
116,1998,78.775961114,4.127134385,3.0950344746,0,0,0,1,1
116,1999,72.134334954,4.127134385,3.0950344746,0,0,0,1,1
116,2000,81.269516003,4.0253516907,3.0950344746,0,0,0,1,1
116,2001,81.77592955,4.0253516907,3.0950344746,0,0,0,1,1
118,1995,73.275832911,4.3944491547,3.6949857725,0,1,0,1,1
118,1996,89.813128247,4.3944491547,3.6949857725,0,1,0,1,1
118,1997,90.333164214,4.3944491547,3.6949857725,0,1,1,1,1
118,1998,87.562996787,4.3944491547,3.6949857725,0,1,1,1,1
118,1999,88.953154067,4.3944491547,3.6949857725,0,1,1,1,1
118,2000,90.470889833,4.3944491547,3.6949857725,0,1,1,1,1
118,2001,92.115135393,4.3944491547,3.6949857725,0,1,1,1,1
120,1995,95.320049813,4.7004803658,3.9834130015,1,0,0,1,1
120,1996,97.051664183,4.7004803658,3.9834130015,1,0,0,1,1
120,1997,95.526774595,4.7004803658,3.9834130015,1,0,0,1,1
120,1998,96.759651308,4.7004803658,3.9834130015,1,0,0,1,1
120,1999,96.097135741,4.7004803658,3.5138413088,1,0,0,1,1
120,2000,95.223546945,4.7004803658,3.5138413088,1,0,1,1,1
120,2001,97.188044832,4.7004803658,3.9834130015,1,0,0,1,1
140,1995,91.118721461,4.0943445622,2.8076541796,1,0,0,1,0
140,1997,74.98173516,4.0943445622,2.8076541796,1,0,0,1,0
140,1998,70.00456621,4.0943445622,2.8076541796,1,0,0,1,0
140,1999,83.632876712,3.9120230054,2.8076541796,1,0,0,1,0
140,2000,90.819672131,3.9120230054,2.8076541796,1,0,0,1,0
142,1995,97.484931507,3.9120230054,2.9095205767,1,0,0,0,0
142,1996,96.109289617,3.9120230054,2.9095205767,1,0,0,0,0
142,1997,93.216438356,3.9120230054,2.9095205767,1,0,0,0,0
142,1998,86.975342466,3.9120230054,2.9095205767,1,0,0,0,0
142,1999,87.989041096,3.9120230054,2.9095205767,1,0,0,0,0
142,2000,82.010928962,3.9120230054,2.9095205767,1,0,0,0,0
142,2001,83.41369863,3.9120230054,2.9095205767,1,0,0,0,0
143,1995,90.191780822,4.3820266347,3.7673671072,0,1,0,1,0
143,1996,91.458333333,4.3820266347,3.7673671072,0,1,0,1,0
143,1997,91.152089919,4.3567088267,3.7673671072,0,1,0,1,0
143,1998,84.884018265,4.3174881135,3.7673671072,0,1,0,1,0
143,1999,95.364383562,4.3174881135,3.7673671072,0,1,1,1,0
143,2000,97.752276867,4.3174881135,3.7673671072,0,1,1,1,0
143,2001,95.302283105,4.3174881135,3.7673671072,0,1,1,1,0
144,1995,66.438356164,3.258096538,3.0932218948,0,1,0,1,0
144,1996,90.332072299,3.258096538,3.1251803407,0,1,0,1,0
144,1997,91.970495258,3.258096538,3.1251803407,0,1,0,1,0
144,1998,97.955742887,3.258096538,3.1251803407,0,1,0,1,0
144,1999,90.453108535,3.258096538,3.0172980515,0,1,0,1,0
144,2000,96.595208071,3.258096538,3.0172980515,0,1,0,1,0
145,1995,92.898276587,4.8675344505,3.705982362,1,0,1,1,0
145,1996,90.649432535,4.8675344505,3.705982362,1,0,1,1,0
145,1997,89.1085353,4.8675344505,3.705982362,1,0,1,1,0
145,1998,88.470319635,4.7874917428,3.705982362,1,0,1,1,0
145,1999,90.832638475,4.7449321284,3.7122785475,1,0,1,1,0
145,2000,90.975327041,4.5951198501,3.7122785475,1,0,1,1,0
145,2001,95.464231355,4.5951198501,3.7122785475,1,0,1,1,0
146,1995,97.298140105,4.8121843554,4.3444026461,0,1,1,1,0
146,1996,98.393975743,4.8121843554,4.605170186,0,1,1,1,0
146,1997,98.193562758,4.8121843554,4.605170186,0,1,1,1,0
146,1998,98.745962802,4.8121843554,4.605170186,0,1,1,1,0
146,1999,98.077736942,4.8121843554,4.605170186,0,1,1,1,0
146,2000,98.51837043,4.8121843554,4.605170186,0,1,1,1,0
146,2001,98.712551509,4.8121843554,4.605170186,0,1,1,1,0
147,1995,93.772391992,3.258096538,3.1810077964,1,0,0,0,1
